F3924,supervised_prob,iso_anomaly_score,final_risk_score
0,4.6551087271850065e-08,0.21136319578343965,0.06340899132079299
0,1.8435188340706404e-09,0.28699276970688137,0.08609783220252759
0,1.3156784735612696e-07,0.19614440666718524,0.058843414097648726
0,8.767506808683549e-08,0.49547315444632545,0.14864200770644528
0,1.0687278647711145e-08,0.09434571100941425,0.028303720783919326
0,2.274662815584183e-09,0.14560845763440333,0.04368253888258497
0,1.8448256063474382e-08,0.3903596034644625,0.11710789395311799
0,2.340880421322117e-09,0.07398001816337907,0.022194007087630016
0,9.217269921454948e-10,0.36309675666911967,0.1089290276459448
0,7.231523070464906e-09,0.102131310673787,0.03063939826420225
0,1.7496770829779219e-09,0.15775517965829722,0.04732655512226312
0,1.7857561790952257e-09,0.2470567332854634,0.07411702123566835
0,2.8130081087508606e-06,0.2000076232780753,0.06000425608909871
0,1.0445082268867653e-08,0.047872605525853484,0.014361788969313633
0,3.724788419558804e-08,0.10888291314975385,0.03266490001844509
0,3.089760621907802e-08,0.19500745735986114,0.05850225883628269
0,3.1428890091799565e-10,0.32473043697140747,0.09741913131142446
0,1.756668733788095e-08,0.7075891990451262,0.212276772010219
0,1.576417714014711e-08,0.23576903415583472,0.07073072128167442
0,1.7690519993348459e-09,0.14397873369793734,0.0431936213477176
0,1.2615615406356056e-09,0.2992234027381111,0.08976702170452641
0,3.878802510262884e-07,0.13813302808644246,0.041440179942108454
0,4.1699346839349817e-07,0.9567588745690426,0.28702795426614064
0,4.269285457702481e-08,0.2917588063635421,0.08752767179406083
0,1.0881158800717647e-07,0.30955209314050247,0.09286570411026235
0,2.0830631088645576e-08,0.504785807778352,0.15143575691494734
0,3.034786421446013e-09,0.20143759144063256,0.060431279556540256
0,1.2188571203481007e-08,0.30081137779041256,0.09024342186912361
0,2.824673929063079e-09,0.27193333028112976,0.08158000106161067
0,4.42554692082172e-08,0.4776601907211371,0.14329808819516957
0,1.4674450084928124e-09,0.32829535744805893,0.09848860826162918
0,3.7168580471141882e-09,0.1868412386427426,0.05605237419462342
0,6.599892555618705e-08,0.27968452910107267,0.08390540492956969
0,9.968252318799532e-09,0.19260600449512855,0.05778180832631518
0,1.5060052977189639e-09,0.1147974463389565,0.03443923495589066
0,8.012449583784206e-09,0.1521483807800189,0.04564451984272038
0,1.4547924081219233e-08,0.0983775060151193,0.029513261988082646
0,1.3838343752493177e-09,0.1014577083079089,0.03043731346105673
0,1.0975120947016459e-08,0.15745330965435766,0.04723600057889196
0,4.609214209083982e-10,0.15390639875029732,0.04617191994773419
0,4.745588266428881e-09,0.0647208155736867,0.019416247994017796
0,7.802505282892505e-08,0.0681035807757977,0.02043112885027629
0,6.811351398385136e-08,0.31380162100472986,0.09414053398087874
0,3.664330352404034e-08,0.4690305157704364,0.14070918038144337
0,1.0122803327827123e-06,0.2018305926234223,0.06054988638325963
0,8.324063463364702e-08,0.09051740918313178,0.027155281023383777
0,3.149817648785108e-09,0.2461428160120358,0.07384284700848309
0,1.588651693227913e-09,0.06592977364409436,0.019778933205284493
