,0
F3912,0.9690659702864185
F2507,0.18452126708559477
F2506,0.18452126708559477
Unnamed: 0,0.16284222311502214
F2409,0.15714999820904266
F2408,0.15714999820904266
F515,0.13698558585710793
F518,0.12690614179338688
F2578,0.11897632737549212
F82,0.11693926059133734
F81,0.11693926059133734
F83,0.11643563732676383
F84,0.11643563732676383
F255,0.1131151184054319
F2285,0.11259905021455599
F285,0.11170928340381586
F283,0.11169554496474042
F2779,0.10981757627361308
F253,0.1093525540786502
F287,0.10588153449770471
F286,0.10584754669960376
F267,0.10533113297354424
F78,0.09853701374471657
F77,0.09850023699175689
F2502,0.09806904472355599
F2503,0.09787050197462374
F2686,0.09786097667148701
F3908,0.09702248970243475
F258,0.0957359635356443
F389,0.09487219239707856
F388,0.09487219239707856
F392,0.09461431514482103
F391,0.09461431514482103
F80,0.09435811206406242
F79,0.09428402457116139
F159,0.09307979197696435
F256,0.0918559880664705
F270,0.09004217235451181
F2474,0.08810698731556514
F2481,0.08616432213898459
F3231,0.08590572623742819
F3229,0.08590572623742819
F265,0.08545517374521239
F2472,0.08508034173791783
F886,0.08491210295456182
F49,0.08430178079452827
F2813,0.08287185409227077
F2812,0.08287185409227077
F2705,0.0825930740485152
F2706,0.0825930740485152
