,missing_count,missing_pct
F3776,9082,100.0
F3773,9082,100.0
F3668,9082,100.0
F3665,9082,100.0
F542,9082,100.0
F2655,9082,100.0
F539,9082,100.0
F440,9082,100.0
F2312,9082,100.0
F437,9082,100.0
F2756,9082,100.0
F492,9082,100.0
F495,9082,100.0
F2607,9082,100.0
F3133,9082,100.0
F3182,9082,100.0
F3179,9082,100.0
F3236,9082,100.0
F3233,9082,100.0
F2707,9082,100.0
F185,9082,100.0
F189,9082,100.0
F192,9082,100.0
F2971,9082,100.0
F2921,9082,100.0
F2917,9082,100.0
F3344,9082,100.0
F3341,9082,100.0
F2458,9082,100.0
F239,9082,100.0
F236,9082,100.0
F2863,9082,100.0
F2860,9082,100.0
F2552,9082,100.0
F290,9082,100.0
F2555,9082,100.0
F2814,9082,100.0
F3027,9082,100.0
F3030,9082,100.0
F131,9082,100.0
F128,9082,100.0
F3077,9082,100.0
F2360,9082,100.0
F2810,9082,100.0
F2807,9082,100.0
F3074,9082,100.0
F390,9082,100.0
F393,9082,100.0
F594,9082,100.0
F597,9082,100.0
F2753,9082,100.0
F2914,9082,100.0
F182,9082,100.0
F2455,9082,100.0
F2924,9082,100.0
F3506,9082,100.0
F3557,9082,100.0
F3560,9082,100.0
F2968,9082,100.0
F3503,9082,100.0
F3449,9082,100.0
F3452,9082,100.0
F293,9082,100.0
F183,9081,99.98898920942524
F184,9081,99.98898920942524
F186,9081,99.98898920942524
F2911,9081,99.98898920942524
F2801,9081,99.98898920942524
F2804,9081,99.98898920942524
F181,9081,99.98898920942524
F2908,9081,99.98898920942524
F2600,9081,99.98898920942524
F2603,9081,99.98898920942524
F2916,9080,99.97797841885048
F2915,9080,99.97797841885048
F2806,9080,99.97797841885048
F3127,9080,99.97797841885048
F3128,9080,99.97797841885048
F3129,9080,99.97797841885048
F3130,9080,99.97797841885048
F2918,9080,99.97797841885048
F3021,9080,99.97797841885048
F3022,9080,99.97797841885048
F3023,9080,99.97797841885048
F2809,9080,99.97797841885048
F2808,9080,99.97797841885048
F3024,9080,99.97797841885048
F2913,9080,99.97797841885048
F2811,9080,99.97797841885048
F2558,9078,99.95595683770094
F2866,9078,99.95595683770094
F2700,9078,99.95595683770094
F3016,9078,99.95595683770094
F2406,9078,99.95595683770094
F2869,9078,99.95595683770094
F2464,9078,99.95595683770094
F2461,9078,99.95595683770094
F3019,9078,99.95595683770094
F2561,9078,99.95595683770094
F2268,9078,99.95595683770094
F2703,9078,99.95595683770094
F2759,9078,99.95595683770094
F2762,9078,99.95595683770094
F383,9077,99.94494604712618
F386,9077,99.94494604712618
F488,9076,99.93393525655142
F485,9076,99.93393525655142
F176,9076,99.93393525655142
F284,9076,99.93393525655142
F590,9076,99.93393525655142
F587,9076,99.93393525655142
F179,9076,99.93393525655142
F3614,9075,99.92292446597666
F3611,9075,99.92292446597666
F3125,9075,99.92292446597666
F3290,9075,99.92292446597666
F3287,9075,99.92292446597666
F3122,9075,99.92292446597666
F36,9067,99.83483814137854
F344,9067,99.83483814137854
F341,9067,99.83483814137854
F39,9067,99.83483814137854
F2365,9066,99.82382735080378
F2658,9066,99.82382735080378
F2977,9066,99.82382735080378
F2974,9066,99.82382735080378
F2661,9066,99.82382735080378
F548,9059,99.74675181678045
F545,9059,99.74675181678045
F446,9059,99.74675181678045
F443,9059,99.74675181678045
F242,9059,99.74675181678045
F245,9059,99.74675181678045
F137,9059,99.74675181678045
F134,9059,99.74675181678045
F3083,9049,99.6366439110328
F3080,9049,99.6366439110328
F2274,9046,99.60361153930852
F2271,9046,99.60361153930852
F2467,9046,99.60361153930852
F2872,9046,99.60361153930852
F2470,9046,99.60361153930852
F2875,9046,99.60361153930852
F2768,9046,99.60361153930852
F2765,9046,99.60361153930852
F2564,9046,99.60361153930852
F2567,9046,99.60361153930852
F2570,9036,99.49350363356089
F2573,9036,99.49350363356089
F2771,9036,99.49350363356089
F2774,9036,99.49350363356089
F2280,9036,99.49350363356089
F2473,9036,99.49350363356089
F2878,9036,99.49350363356089
F2277,9036,99.49350363356089
F2881,9036,99.49350363356089
F2476,9036,99.49350363356089
F2368,9028,99.40541730896278
F2667,9028,99.40541730896278
F2664,9028,99.40541730896278
F2980,9028,99.40541730896278
F2983,9028,99.40541730896278
F2371,9028,99.40541730896278
F353,9020,99.31733098436469
F356,9020,99.31733098436469
F51,9020,99.31733098436469
F48,9020,99.31733098436469
F3089,9016,99.27328782206563
F3086,9016,99.27328782206563
F42,9013,99.24025545034134
F45,9013,99.24025545034134
F347,9013,99.24025545034134
F350,9013,99.24025545034134
F2673,9009,99.19621228804229
F2670,9009,99.19621228804229
F2989,9009,99.19621228804229
F2986,9009,99.19621228804229
F2374,9009,99.19621228804229
F2377,9009,99.19621228804229
F2923,9003,99.13014754459371
F2313,9003,99.13014754459371
F2310,9003,99.13014754459371
F2311,9003,99.13014754459371
F2314,9003,99.13014754459371
F2922,9003,99.13014754459371
F2919,9003,99.13014754459371
F2920,9003,99.13014754459371
F2605,9003,99.13014754459371
F2606,9003,99.13014754459371
F2608,9003,99.13014754459371
F2609,9003,99.13014754459371
F2816,9003,99.13014754459371
F2815,9003,99.13014754459371
F2813,9003,99.13014754459371
F2812,9003,99.13014754459371
F2506,9003,99.13014754459371
F2507,9003,99.13014754459371
F2508,9003,99.13014754459371
F2509,9003,99.13014754459371
F449,9000,99.09711517286941
F554,9000,99.09711517286941
F251,9000,99.09711517286941
F248,9000,99.09711517286941
F551,9000,99.09711517286941
F452,9000,99.09711517286941
F143,9000,99.09711517286941
F140,9000,99.09711517286941
F557,8971,98.77780224620128
F455,8971,98.77780224620128
F458,8971,98.77780224620128
F560,8971,98.77780224620128
F146,8971,98.77780224620128
F149,8971,98.77780224620128
F257,8971,98.77780224620128
F254,8971,98.77780224620128
F3095,8960,98.65668354987888
F3092,8960,98.65668354987888
F2411,8938,98.4144461572341
F2410,8938,98.4144461572341
F391,8938,98.4144461572341
F389,8938,98.4144461572341
F388,8938,98.4144461572341
F3025,8938,98.4144461572341
F84,8938,98.4144461572341
F2408,8938,98.4144461572341
F2409,8938,98.4144461572341
F2708,8938,98.4144461572341
F2709,8938,98.4144461572341
F81,8938,98.4144461572341
F3028,8938,98.4144461572341
F3029,8938,98.4144461572341
F83,8938,98.4144461572341
F82,8938,98.4144461572341
F3026,8938,98.4144461572341
F392,8938,98.4144461572341
F2706,8938,98.4144461572341
F2705,8938,98.4144461572341
F2604,8844,97.37943184320635
F2602,8844,97.37943184320635
F2307,8844,97.37943184320635
F2306,8844,97.37943184320635
F2503,8844,97.37943184320635
F2505,8844,97.37943184320635
F2309,8844,97.37943184320635
F2502,8844,97.37943184320635
F2308,8844,97.37943184320635
F2907,8844,97.37943184320635
F2909,8844,97.37943184320635
F2601,8844,97.37943184320635
F2802,8844,97.37943184320635
F2800,8844,97.37943184320635
F2805,8844,97.37943184320635
F2504,8844,97.37943184320635
F2912,8844,97.37943184320635
F2803,8844,97.37943184320635
F2910,8844,97.37943184320635
F2599,8844,97.37943184320635
F2529,8828,97.20325919401013
F2732,8828,97.20325919401013
F2431,8828,97.20325919401013
F2434,8828,97.20325919401013
F2729,8828,97.20325919401013
F2241,8828,97.20325919401013
F2839,8828,97.20325919401013
F2836,8828,97.20325919401013
F2238,8828,97.20325919401013
F2531,8828,97.20325919401013
F2929,8796,96.85091389561771
F2319,8796,96.85091389561771
F2614,8796,96.85091389561771
F2926,8796,96.85091389561771
F2514,8796,96.85091389561771
F2821,8796,96.85091389561771
F2818,8796,96.85091389561771
F2611,8796,96.85091389561771
F2316,8796,96.85091389561771
F2511,8796,96.85091389561771
F2325,8777,96.6417088746972
F2322,8777,96.6417088746972
F2617,8777,96.6417088746972
F2620,8777,96.6417088746972
F2935,8777,96.6417088746972
F2824,8777,96.6417088746972
F2827,8777,96.6417088746972
F2517,8777,96.6417088746972
F2520,8777,96.6417088746972
F2932,8777,96.6417088746972
F190,8771,96.57564413124862
F187,8771,96.57564413124862
F188,8771,96.57564413124862
F191,8771,96.57564413124862
F491,8771,96.57564413124862
F493,8771,96.57564413124862
F494,8771,96.57564413124862
F288,8771,96.57564413124862
F596,8771,96.57564413124862
F595,8771,96.57564413124862
F593,8771,96.57564413124862
F592,8771,96.57564413124862
F291,8771,96.57564413124862
F292,8771,96.57564413124862
F289,8771,96.57564413124862
F490,8771,96.57564413124862
F3131,8770,96.56463334067385
F3134,8770,96.56463334067385
F3132,8770,96.56463334067385
F3135,8770,96.56463334067385
F3020,8747,96.31138515745431
F3015,8747,96.31138515745431
F3017,8747,96.31138515745431
F3018,8747,96.31138515745431
F2699,8747,96.31138515745431
F2702,8747,96.31138515745431
F2701,8747,96.31138515745431
F2404,8747,96.31138515745431
F2405,8747,96.31138515745431
F2403,8747,96.31138515745431
F2407,8747,96.31138515745431
F2704,8747,96.31138515745431
F382,8734,96.16824487998238
F385,8734,96.16824487998238
F384,8734,96.16824487998238
F387,8734,96.16824487998238
F80,8734,96.16824487998238
F78,8734,96.16824487998238
F79,8734,96.16824487998238
F77,8734,96.16824487998238
F89,8724,96.05813697423476
F398,8724,96.05813697423476
F86,8724,96.05813697423476
F395,8724,96.05813697423476
F3035,8718,95.99207223078618
F2714,8718,95.99207223078618
F3032,8718,95.99207223078618
F2711,8718,95.99207223078618
F2413,8718,95.99207223078618
F2416,8718,95.99207223078618
F2337,8649,95.2323276811275
F2629,8649,95.2323276811275
F2632,8649,95.2323276811275
F2947,8649,95.2323276811275
F2334,8649,95.2323276811275
F2944,8649,95.2323276811275
F2879,8640,95.13323056595465
F2772,8640,95.13323056595465
F2775,8640,95.13323056595465
F2574,8640,95.13323056595465
F2571,8640,95.13323056595465
F2281,8640,95.13323056595465
F2882,8640,95.13323056595465
F2477,8640,95.13323056595465
F2474,8640,95.13323056595465
F2278,8640,95.13323056595465
F295,8632,95.04514424135652
F197,8632,95.04514424135652
F500,8632,95.04514424135652
F497,8632,95.04514424135652
F194,8632,95.04514424135652
F298,8632,95.04514424135652
F599,8632,95.04514424135652
F602,8632,95.04514424135652
F3121,8618,94.89099317330985
F3126,8618,94.89099317330985
F3123,8618,94.89099317330985
F3124,8618,94.89099317330985
F3137,8617,94.87998238273508
F95,8617,94.87998238273508
F404,8617,94.87998238273508
F3140,8617,94.87998238273508
F92,8617,94.87998238273508
F401,8617,94.87998238273508
F285,8603,94.72583131468839
F287,8603,94.72583131468839
F286,8603,94.72583131468839
F586,8603,94.72583131468839
F589,8603,94.72583131468839
F588,8603,94.72583131468839
F591,8603,94.72583131468839
F283,8603,94.72583131468839
F180,8602,94.71482052411363
F177,8602,94.71482052411363
F175,8602,94.71482052411363
F487,8602,94.71482052411363
F489,8602,94.71482052411363
F484,8602,94.71482052411363
F178,8602,94.71482052411363
F486,8602,94.71482052411363
F2770,8601,94.70380973353886
F2276,8601,94.70380973353886
F2773,8601,94.70380973353886
F2472,8601,94.70380973353886
F2572,8601,94.70380973353886
F2279,8601,94.70380973353886
F2569,8601,94.70380973353886
F2475,8601,94.70380973353886
F2880,8601,94.70380973353886
F2877,8601,94.70380973353886
F2720,8599,94.68178815238934
F3041,8599,94.68178815238934
F2717,8599,94.68178815238934
F2419,8599,94.68178815238934
F3038,8599,94.68178815238934
F2422,8599,94.68178815238934
F316,8594,94.62673419951552
F11,8594,94.62673419951552
F313,8594,94.62673419951552
F8,8594,94.62673419951552
F2733,8588,94.56066945606695
F2242,8588,94.56066945606695
F2435,8588,94.56066945606695
F2837,8588,94.56066945606695
F2840,8588,94.56066945606695
F2532,8588,94.56066945606695
F2239,8588,94.56066945606695
F2432,8588,94.56066945606695
F2730,8588,94.56066945606695
F2597,8527,93.88901123100639
F2500,8527,93.88901123100639
F2795,8527,93.88901123100639
F2594,8527,93.88901123100639
F2798,8527,93.88901123100639
F2497,8527,93.88901123100639
F2905,8527,93.88901123100639
F2902,8527,93.88901123100639
F2304,8527,93.88901123100639
F2301,8527,93.88901123100639
F2728,8524,93.85597885928209
F2731,8524,93.85597885928209
F2430,8524,93.85597885928209
F2433,8524,93.85597885928209
F2528,8524,93.85597885928209
F2530,8524,93.85597885928209
F2237,8524,93.85597885928209
F2240,8524,93.85597885928209
F2835,8524,93.85597885928209
F2838,8524,93.85597885928209
F2335,8396,92.44659766571239
F2338,8396,92.44659766571239
F2633,8396,92.44659766571239
F2630,8396,92.44659766571239
F2948,8396,92.44659766571239
F2945,8396,92.44659766571239
F3013,8381,92.28143580709094
F3010,8381,92.28143580709094
F2697,8381,92.28143580709094
F2694,8381,92.28143580709094
F2401,8381,92.28143580709094
F2398,8381,92.28143580709094
F377,8368,92.13829552961903
F72,8368,92.13829552961903
F75,8368,92.13829552961903
F380,8368,92.13829552961903
F314,8357,92.01717683329663
F9,8357,92.01717683329663
F12,8357,92.01717683329663
F317,8357,92.01717683329663
F3143,8350,91.9401012992733
F3146,8350,91.9401012992733
F605,8347,91.90706892754899
F608,8347,91.90706892754899
F301,8347,91.90706892754899
F304,8347,91.90706892754899
F203,8346,91.89605813697423
F506,8346,91.89605813697423
F503,8346,91.89605813697423
F200,8346,91.89605813697423
F2518,8332,91.74190706892756
F2521,8332,91.74190706892756
F2326,8332,91.74190706892756
F2828,8332,91.74190706892756
F2825,8332,91.74190706892756
F2323,8332,91.74190706892756
F2936,8332,91.74190706892756
F2621,8332,91.74190706892756
F2618,8332,91.74190706892756
F2933,8332,91.74190706892756
F2333,8278,91.14732437789034
F2336,8278,91.14732437789034
F2631,8278,91.14732437789034
F2943,8278,91.14732437789034
F2628,8278,91.14732437789034
F2946,8278,91.14732437789034
F2930,8237,90.69588196432504
F2615,8237,90.69588196432504
F2317,8237,90.69588196432504
F2612,8237,90.69588196432504
F2515,8237,90.69588196432504
F2512,8237,90.69588196432504
F2822,8237,90.69588196432504
F2819,8237,90.69588196432504
F2927,8237,90.69588196432504
F2320,8237,90.69588196432504
F312,8227,90.5857740585774
F10,8227,90.5857740585774
F3050,8227,90.5857740585774
F7,8227,90.5857740585774
F3053,8227,90.5857740585774
F315,8227,90.5857740585774
F104,8208,90.3765690376569
F107,8208,90.3765690376569
F515,8208,90.3765690376569
F518,8208,90.3765690376569
F212,8208,90.3765690376569
F215,8208,90.3765690376569
F416,8208,90.3765690376569
F413,8208,90.3765690376569
F3119,8203,90.32151508478309
F3116,8203,90.32151508478309
F278,8196,90.24443955075975
F281,8196,90.24443955075975
F584,8196,90.24443955075975
F581,8196,90.24443955075975
F170,8195,90.23342876018499
F173,8195,90.23342876018499
F479,8195,90.23342876018499
F482,8195,90.23342876018499
F2559,8157,89.81501871834398
F2562,8157,89.81501871834398
F2763,8157,89.81501871834398
F2760,8157,89.81501871834398
F2462,8157,89.81501871834398
F2465,8157,89.81501871834398
F2870,8157,89.81501871834398
F2867,8157,89.81501871834398
F2266,8157,89.81501871834398
F2269,8157,89.81501871834398
F2463,8155,89.79299713719445
F2865,8155,89.79299713719445
F2560,8155,89.79299713719445
F2557,8155,89.79299713719445
F2267,8155,89.79299713719445
F2265,8155,89.79299713719445
F2868,8155,89.79299713719445
F2460,8155,89.79299713719445
